Pitches use 1/128th semitone native units
unit/cent = 1.28

For OSC2Tune = +/-x, offset units = y, approximate cents = c
x   y     c
0   0     0
1   1     1
2   2     2
3   3     3
4   5     4
5   6     5
6   12    10
7   19    15
8   25    20
9   32    25
10  38    30
11  51    40
12  76    60
13  102   80
14  128   100
15  153   120
16  204   160
17  256   200
18  332   260
19  409   320
20  486   380
21  563   440
22  640   500
23  704   550
24  768   600
25  800   625
26  832   650
27  864   675
28  896   700
29  928   725
30  960   750
31  992   775
32  1024  800
33  1056  825
34  1088  850
35  1120  875
36  1152  900
37  1184  925
38  1216  950
39  1248  975
40  1280  1000
41  1312  1025
42  1344  1050
43  1376  1075
44  1408  1100
45  1440  1125
46  1472  1150
47  1504  1175
48  1536  1200
49  1638  1280
50  1740  1360
51  1843  1440
52  1945  1520
53  2048  1600
54  2150  1680
55  2252  1760
56  2355  1840
57  2457  1920
58  2560  2000
59  2662  2080
60  2764  2160
61  2867  2240
62  2969  2320
63  3072  2400
