Input,"Raw Freq",VC1,VC2,VC3,VC4,VC5,VC6,VC7,VC8
1,113.6,1,1,1,1,2,3,2,3
2,117.4,1,1,2,2,3,5,4,8
3,121.3,1,2,2,3,4,7,7,14
4,125.3,1,2,3,4,5,9,10,18
5,129.4,2,3,4,5,6,11,12,21
6,133.7,2,3,4,6,7,12,15,24
7,138.1,2,4,5,7,8,13,18,28
8,142.7,3,4,5,8,10,15,20,31
9,147.4,3,4,6,9,11,16,23,33
10,152.2,3,5,6,10,12,18,25,36
11,157.3,3,5,7,11,13,19,27,39
12,162.5,3,5,7,12,15,21,29,41
13,167.8,4,6,8,13,16,22,30,43
14,173.4,4,6,8,14,17,23,32,45
15,179.1,4,7,9,15,18,25,34,46
16,185.0,4,7,9,16,20,26,36,48
17,191.1,4,7,10,17,21,28,38,50
18,197.4,5,8,10,18,22,29,39,51
19,204.0,5,8,11,19,23,31,41,53
20,210.7,5,8,11,20,24,32,42,54
21,217.6,5,9,12,21,25,34,44,56
22,224.8,6,9,12,22,26,36,46,57
23,232.3,6,9,13,23,27,37,47,58
24,239.9,6,10,13,24,28,39,49,60
25,247.9,7,10,14,25,30,41,50,61
26,256.0,7,10,15,26,31,43,52,62
27,264.5,8,11,15,27,32,44,54,63
28,273.2,8,11,16,28,34,46,55,65
29,282.2,8,11,17,29,35,48,57,66
30,291.6,9,12,17,30,36,50,59,67
31,301.2,9,12,18,31,38,52,61,68
32,311.2,10,13,19,32,39,55,63,70
33,321.4,10,13,19,33,41,57,64,71
34,332.0,11,14,20,34,42,59,66,72
35,343.0,11,14,21,35,44,61,67,73
36,354.3,11,15,21,36,46,63,69,74
37,366.0,12,15,22,37,48,65,70,75
38,378.1,12,16,23,38,49,67,72,76
39,390.6,13,16,23,39,51,69,73,76
40,403.5,13,17,24,40,52,70,74,77
41,416.8,14,17,25,41,54,72,75,78
42,430.6,14,18,26,42,55,74,76,78
43,444.8,14,18,26,43,56,75,77,79
44,459.5,15,19,27,44,58,77,78,80
45,474.7,15,19,28,45,59,78,79,81
